State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
South Dakota,State,South Dakota,Total - All Government Employment Functions,12285,R,67973024,R,6005,T,5945688,T,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Financial Administration,409,R,2606392,R,11,R,49795,R,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Other Government Administration,342,R,1905330,R,59,R,53825,R,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Judicial and Legal,735,R,4430637,R,100,R,171749,R,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Police Protection - Persons with Power of Arrest,222,X,1386874,X,3,X,884,X,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Police Protection - Other,131,X,588925,X,15,X,31351,X,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Corrections,654,R,4603307,R,36,R,54988,R,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Highways,978,R,5295360,R,49,R,109047,R,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Public Welfare,1458,R,7267521,R,156,R,385010,R,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Health,479,R,2941556,R,147,R,571690,R,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Hospitals,500,R,2275769,R,31,R,79490,R,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Social Insurance Administration,240,R,1009101,R,6,R,16749,R,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Parks and Recreation,134,R,603810,R,25,R,42056,R,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Natural Resources,740,R,3468809,R,311,T,463725,T,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Education - Higher Education Instructional,1437,R,10884324,R,1440,T,2202788,T,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Education - Higher Education Other,2644,R,12312139,R,3537,T,1575917,T,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,Education - Other,299,R,1549869,R,32,R,35400,R,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,State,South Dakota,All other and unallocable,883,R,4843304,R,47,R,101226,R,42000000000000,Midwest,NA,46,NA,892717,20,NA,1,00,226092
South Dakota,County,Aurora,Total - All Government Employment Functions,19,G,73773,G,20,G,30461,G,42100200100000,Midwest,Aurora,46,003,2730,20,NA,1,04,174981
South Dakota,County,Aurora,Financial Administration,4,G,15191,G,4,G,6349,G,42100200100000,Midwest,Aurora,46,003,2730,20,NA,1,04,174981
South Dakota,County,Aurora,Other Government Administration,1,G,3994,G,8,G,5353,G,42100200100000,Midwest,Aurora,46,003,2730,20,NA,1,04,174981
South Dakota,County,Aurora,Judicial and Legal,0,G,0,G,1,G,5081,G,42100200100000,Midwest,Aurora,46,003,2730,20,NA,1,04,174981
South Dakota,County,Aurora,Police Protection - Persons with Power of Arrest,3,G,12729,G,0,G,0,G,42100200100000,Midwest,Aurora,46,003,2730,20,NA,1,04,174981
South Dakota,County,Aurora,Police Protection - Other,1,G,2814,G,0,G,0,G,42100200100000,Midwest,Aurora,46,003,2730,20,NA,1,04,174981
South Dakota,County,Aurora,Highways,9,G,35062,G,1,G,3316,G,42100200100000,Midwest,Aurora,46,003,2730,20,NA,1,04,174981
South Dakota,County,Aurora,Public Welfare,0,G,0,G,1,G,1196,G,42100200100000,Midwest,Aurora,46,003,2730,20,NA,1,04,174981
South Dakota,County,Aurora,Health,0,G,0,G,1,G,2918,G,42100200100000,Midwest,Aurora,46,003,2730,20,NA,1,04,174981
South Dakota,County,Aurora,All other and unallocable,1,G,3983,G,4,G,6248,G,42100200100000,Midwest,Aurora,46,003,2730,20,NA,1,04,174981
South Dakota,County,Beadle,Total - All Government Employment Functions,87,G,352903,G,10,G,7374,G,42100300200000,Midwest,Beadle,46,005,18513,20,NA,1,04,134540
South Dakota,County,Beadle,Financial Administration,11,G,47215,G,0,G,0,G,42100300200000,Midwest,Beadle,46,005,18513,20,NA,1,04,134540
South Dakota,County,Beadle,Other Government Administration,12,G,20861,G,0,G,0,G,42100300200000,Midwest,Beadle,46,005,18513,20,NA,1,04,134540
South Dakota,County,Beadle,Judicial and Legal,6,G,32836,G,1,G,527,G,42100300200000,Midwest,Beadle,46,005,18513,20,NA,1,04,134540
South Dakota,County,Beadle,Police Protection - Persons with Power of Arrest,6,G,34230,G,0,G,0,G,42100300200000,Midwest,Beadle,46,005,18513,20,NA,1,04,134540
South Dakota,County,Beadle,Police Protection - Other,2,G,7358,G,0,G,0,G,42100300200000,Midwest,Beadle,46,005,18513,20,NA,1,04,134540
South Dakota,County,Beadle,Corrections,18,G,85949,G,8,G,5159,G,42100300200000,Midwest,Beadle,46,005,18513,20,NA,1,04,134540
South Dakota,County,Beadle,Highways,17,G,81872,G,0,G,0,G,42100300200000,Midwest,Beadle,46,005,18513,20,NA,1,04,134540
South Dakota,County,Beadle,Public Welfare,5,G,20503,G,1,G,1688,G,42100300200000,Midwest,Beadle,46,005,18513,20,NA,1,04,134540
South Dakota,County,Beadle,All other and unallocable,10,G,22079,G,0,G,0,G,42100300200000,Midwest,Beadle,46,005,18513,20,NA,1,04,134540
South Dakota,County,Bennett,Total - All Government Employment Functions,20,G,68787,G,16,G,37828,G,42100400300000,Midwest,Bennett,46,007,3399,20,NA,1,04,187475
South Dakota,County,Bennett,Financial Administration,5,G,16979,G,2,G,3736,G,42100400300000,Midwest,Bennett,46,007,3399,20,NA,1,04,187475
South Dakota,County,Bennett,Other Government Administration,0,G,0,G,4,G,7869,G,42100400300000,Midwest,Bennett,46,007,3399,20,NA,1,04,187475
South Dakota,County,Bennett,Judicial and Legal,1,G,4212,G,0,G,0,G,42100400300000,Midwest,Bennett,46,007,3399,20,NA,1,04,187475
South Dakota,County,Bennett,Police Protection - Persons with Power of Arrest,3,G,12597,G,0,G,0,G,42100400300000,Midwest,Bennett,46,007,3399,20,NA,1,04,187475
South Dakota,County,Bennett,Police Protection - Other,2,G,5236,G,2,G,3515,G,42100400300000,Midwest,Bennett,46,007,3399,20,NA,1,04,187475
South Dakota,County,Bennett,Highways,5,G,20393,G,0,G,0,G,42100400300000,Midwest,Bennett,46,007,3399,20,NA,1,04,187475
South Dakota,County,Bennett,Public Welfare,0,G,0,G,2,G,9941,G,42100400300000,Midwest,Bennett,46,007,3399,20,NA,1,04,187475
South Dakota,County,Bennett,Libraries,1,G,2261,G,2,G,5199,G,42100400300000,Midwest,Bennett,46,007,3399,20,NA,1,04,187475
South Dakota,County,Bennett,All other and unallocable,3,G,7109,G,4,G,7568,G,42100400300000,Midwest,Bennett,46,007,3399,20,NA,1,04,187475
South Dakota,County,Bon Homme,Total - All Government Employment Functions,44,G,153960,G,0,G,0,G,42100500400000,Midwest,Bon Homme,46,009,6848,20,NA,1,04,191501
South Dakota,County,Bon Homme,Financial Administration,8,G,28191,G,0,G,0,G,42100500400000,Midwest,Bon Homme,46,009,6848,20,NA,1,04,191501
South Dakota,County,Bon Homme,Other Government Administration,7,G,15642,G,0,G,0,G,42100500400000,Midwest,Bon Homme,46,009,6848,20,NA,1,04,191501
South Dakota,County,Bon Homme,Judicial and Legal,1,G,4942,G,0,G,0,G,42100500400000,Midwest,Bon Homme,46,009,6848,20,NA,1,04,191501
South Dakota,County,Bon Homme,Police Protection - Persons with Power of Arrest,3,G,13098,G,0,G,0,G,42100500400000,Midwest,Bon Homme,46,009,6848,20,NA,1,04,191501
South Dakota,County,Bon Homme,Corrections,5,G,17858,G,0,G,0,G,42100500400000,Midwest,Bon Homme,46,009,6848,20,NA,1,04,191501
South Dakota,County,Bon Homme,Highways,18,G,66584,G,0,G,0,G,42100500400000,Midwest,Bon Homme,46,009,6848,20,NA,1,04,191501
South Dakota,County,Bon Homme,Public Welfare,1,G,4545,G,0,G,0,G,42100500400000,Midwest,Bon Homme,46,009,6848,20,NA,1,04,191501
South Dakota,County,Bon Homme,All other and unallocable,1,G,3100,G,0,G,0,G,42100500400000,Midwest,Bon Homme,46,009,6848,20,NA,1,04,191501
South Dakota,County,Brookings,Total - All Government Employment Functions,93,R,460623,R,31,R,43990,X,42100600500000,Midwest,Brookings,46,011,35603,20,NA,1,04,174982
South Dakota,County,Brookings,Financial Administration,17,R,75186,R,0,R,0,R,42100600500000,Midwest,Brookings,46,011,35603,20,NA,1,04,174982
South Dakota,County,Brookings,Other Government Administration,10,R,53762,R,5,C,4104,C,42100600500000,Midwest,Brookings,46,011,35603,20,NA,1,04,174982
South Dakota,County,Brookings,Judicial and Legal,8,R,47019,R,0,R,0,R,42100600500000,Midwest,Brookings,46,011,35603,20,NA,1,04,174982
South Dakota,County,Brookings,Police Protection - Persons with Power of Arrest,16,R,86219,R,1,R,915,R,42100600500000,Midwest,Brookings,46,011,35603,20,NA,1,04,174982
South Dakota,County,Brookings,Police Protection - Other,2,R,11396,R,1,R,790,R,42100600500000,Midwest,Brookings,46,011,35603,20,NA,1,04,174982
South Dakota,County,Brookings,Corrections,12,R,59476,R,16,R,30966,X,42100600500000,Midwest,Brookings,46,011,35603,20,NA,1,04,174982
South Dakota,County,Brookings,Highways,20,R,91991,R,0,R,0,R,42100600500000,Midwest,Brookings,46,011,35603,20,NA,1,04,174982
South Dakota,County,Brookings,Public Welfare,2,R,8412,R,0,R,0,R,42100600500000,Midwest,Brookings,46,011,35603,20,NA,1,04,174982
South Dakota,County,Brookings,Health,0,R,0,R,1,R,2698,R,42100600500000,Midwest,Brookings,46,011,35603,20,NA,1,04,174982
South Dakota,County,Brookings,Parks and Recreation,2,R,9010,R,5,R,3998,R,42100600500000,Midwest,Brookings,46,011,35603,20,NA,1,04,174982
South Dakota,County,Brookings,Natural Resources,1,C,4741,C,2,C,519,C,42100600500000,Midwest,Brookings,46,011,35603,20,NA,1,04,174982
South Dakota,County,Brookings,All other and unallocable,3,C,13410,C,0,C,0,C,42100600500000,Midwest,Brookings,46,011,35603,20,NA,1,04,174982
South Dakota,County,Brown,Total - All Government Employment Functions,172,R,758676,R,33,R,36855,R,42100700600000,Midwest,Brown,46,013,38738,20,NA,1,04,209455
South Dakota,County,Brown,Financial Administration,28,R,116325,R,1,R,1318,R,42100700600000,Midwest,Brown,46,013,38738,20,NA,1,04,209455
South Dakota,County,Brown,Other Government Administration,6,R,27249,R,5,R,9971,R,42100700600000,Midwest,Brown,46,013,38738,20,NA,1,04,209455
South Dakota,County,Brown,Judicial and Legal,13,R,68607,R,0,R,0,R,42100700600000,Midwest,Brown,46,013,38738,20,NA,1,04,209455
South Dakota,County,Brown,Police Protection - Persons with Power of Arrest,17,R,90934,R,0,R,0,R,42100700600000,Midwest,Brown,46,013,38738,20,NA,1,04,209455
South Dakota,County,Brown,Police Protection - Other,24,R,96919,C,0,R,0,C,42100700600000,Midwest,Brown,46,013,38738,20,NA,1,04,209455
South Dakota,County,Brown,Corrections,34,R,148922,R,9,R,7980,R,42100700600000,Midwest,Brown,46,013,38738,20,NA,1,04,209455
South Dakota,County,Brown,Highways,22,R,92821,R,0,R,0,R,42100700600000,Midwest,Brown,46,013,38738,20,NA,1,04,209455
South Dakota,County,Brown,Public Welfare,3,R,13959,R,0,R,0,R,42100700600000,Midwest,Brown,46,013,38738,20,NA,1,04,209455
South Dakota,County,Brown,Health,1,R,6304,R,3,R,1428,R,42100700600000,Midwest,Brown,46,013,38738,20,NA,1,04,209455
South Dakota,County,Brown,Solid Waste Management,7,R,30442,R,3,R,2546,R,42100700600000,Midwest,Brown,46,013,38738,20,NA,1,04,209455
South Dakota,County,Brown,Parks and Recreation,9,R,33715,R,5,R,7181,R,42100700600000,Midwest,Brown,46,013,38738,20,NA,1,04,209455
South Dakota,County,Brown,Natural Resources,1,R,4065,R,0,R,0,R,42100700600000,Midwest,Brown,46,013,38738,20,NA,1,04,209455
South Dakota,County,Brown,All other and unallocable,7,R,28414,R,7,R,6430,R,42100700600000,Midwest,Brown,46,013,38738,20,NA,1,04,209455
South Dakota,County,Brule,Total - All Government Employment Functions,25,R,95842,R,12,C,8282,C,42100800700000,Midwest,Brule,46,015,5254,20,NA,1,04,174983
South Dakota,County,Brule,Financial Administration,6,R,24756,R,0,R,0,R,42100800700000,Midwest,Brule,46,015,5254,20,NA,1,04,174983
South Dakota,County,Brule,Other Government Administration,0,C,0,C,7,C,4427,C,42100800700000,Midwest,Brule,46,015,5254,20,NA,1,04,174983
South Dakota,County,Brule,Judicial and Legal,3,C,6528,C,0,C,0,C,42100800700000,Midwest,Brule,46,015,5254,20,NA,1,04,174983
South Dakota,County,Brule,Police Protection - Persons with Power of Arrest,4,R,20332,R,3,C,385,C,42100800700000,Midwest,Brule,46,015,5254,20,NA,1,04,174983
South Dakota,County,Brule,Police Protection - Other,1,R,3888,R,0,R,0,R,42100800700000,Midwest,Brule,46,015,5254,20,NA,1,04,174983
South Dakota,County,Brule,Corrections,2,R,6545,R,0,R,0,R,42100800700000,Midwest,Brule,46,015,5254,20,NA,1,04,174983
South Dakota,County,Brule,Highways,8,R,29979,R,0,R,0,R,42100800700000,Midwest,Brule,46,015,5254,20,NA,1,04,174983
South Dakota,County,Brule,Public Welfare,0,C,0,C,1,C,1242,C,42100800700000,Midwest,Brule,46,015,5254,20,NA,1,04,174983
South Dakota,County,Brule,All other and unallocable,1,R,3813,R,1,C,2228,C,42100800700000,Midwest,Brule,46,015,5254,20,NA,1,04,174983
South Dakota,County,Buffalo,Total - All Government Employment Functions,7,G,24133,G,4,G,1279,G,42100900800000,Midwest,Buffalo,46,017,1956,20,NA,1,04,194048
South Dakota,County,Buffalo,Financial Administration,3,G,9686,G,0,G,0,G,42100900800000,Midwest,Buffalo,46,017,1956,20,NA,1,04,194048
South Dakota,County,Buffalo,Other Government Administration,0,G,0,G,3,G,1248,G,42100900800000,Midwest,Buffalo,46,017,1956,20,NA,1,04,194048
South Dakota,County,Buffalo,Judicial and Legal,1,G,3429,G,0,G,0,G,42100900800000,Midwest,Buffalo,46,017,1956,20,NA,1,04,194048
South Dakota,County,Buffalo,Police Protection - Persons with Power of Arrest,1,G,4051,G,0,G,0,G,42100900800000,Midwest,Buffalo,46,017,1956,20,NA,1,04,194048
South Dakota,County,Buffalo,Highways,2,G,6967,G,0,G,0,G,42100900800000,Midwest,Buffalo,46,017,1956,20,NA,1,04,194048
South Dakota,County,Buffalo,Natural Resources,0,G,0,G,1,G,31,G,42100900800000,Midwest,Buffalo,46,017,1956,20,NA,1,04,194048
South Dakota,County,Butte,Total - All Government Employment Functions,46,G,187268,G,7,G,8851,G,42101000900000,Midwest,Butte,46,019,10538,20,NA,1,04,205375
South Dakota,County,Butte,Financial Administration,8,G,32986,G,5,G,4984,G,42101000900000,Midwest,Butte,46,019,10538,20,NA,1,04,205375
South Dakota,County,Butte,Other Government Administration,7,G,17404,G,0,G,0,G,42101000900000,Midwest,Butte,46,019,10538,20,NA,1,04,205375
South Dakota,County,Butte,Judicial and Legal,2,G,12083,G,1,G,1475,G,42101000900000,Midwest,Butte,46,019,10538,20,NA,1,04,205375
South Dakota,County,Butte,Police Protection - Persons with Power of Arrest,5,G,25629,G,0,G,0,G,42101000900000,Midwest,Butte,46,019,10538,20,NA,1,04,205375
South Dakota,County,Butte,Police Protection - Other,9,G,39849,G,1,G,2392,G,42101000900000,Midwest,Butte,46,019,10538,20,NA,1,04,205375
South Dakota,County,Butte,Highways,11,G,44501,G,0,G,0,G,42101000900000,Midwest,Butte,46,019,10538,20,NA,1,04,205375
South Dakota,County,Butte,Public Welfare,1,G,3762,G,0,G,0,G,42101000900000,Midwest,Butte,46,019,10538,20,NA,1,04,205375
South Dakota,County,Butte,Health,1,G,3533,G,0,G,0,G,42101000900000,Midwest,Butte,46,019,10538,20,NA,1,04,205375
South Dakota,County,Butte,Natural Resources,2,G,7521,G,0,G,0,G,42101000900000,Midwest,Butte,46,019,10538,20,NA,1,04,205375
South Dakota,County,Campbell,Total - All Government Employment Functions,14,G,59464,G,29,G,21185,G,42101101000000,Midwest,Campbell,46,021,1380,20,NA,1,04,112960
South Dakota,County,Campbell,Financial Administration,3,G,13552,G,2,G,4805,G,42101101000000,Midwest,Campbell,46,021,1380,20,NA,1,04,112960
South Dakota,County,Campbell,Other Government Administration,0,G,0,G,9,G,9011,G,42101101000000,Midwest,Campbell,46,021,1380,20,NA,1,04,112960
South Dakota,County,Campbell,Judicial and Legal,1,G,4603,G,0,G,0,G,42101101000000,Midwest,Campbell,46,021,1380,20,NA,1,04,112960
South Dakota,County,Campbell,Police Protection - Persons with Power of Arrest,2,G,9236,G,0,G,0,G,42101101000000,Midwest,Campbell,46,021,1380,20,NA,1,04,112960
South Dakota,County,Campbell,Highways,8,G,32073,G,1,G,2524,G,42101101000000,Midwest,Campbell,46,021,1380,20,NA,1,04,112960
South Dakota,County,Campbell,Public Welfare,0,G,0,G,1,G,522,G,42101101000000,Midwest,Campbell,46,021,1380,20,NA,1,04,112960
South Dakota,County,Campbell,Health,0,G,0,G,14,G,850,G,42101101000000,Midwest,Campbell,46,021,1380,20,NA,1,04,112960
South Dakota,County,Campbell,Natural Resources,0,G,0,G,1,G,1629,G,42101101000000,Midwest,Campbell,46,021,1380,20,NA,1,04,112960
South Dakota,County,Campbell,All other and unallocable,0,G,0,G,1,G,1844,G,42101101000000,Midwest,Campbell,46,021,1380,20,NA,1,04,112960
South Dakota,County,Charles Mix,Total - All Government Employment Functions,50,R,199250,R,4,C,9588,C,42101201100000,Midwest,Charles Mix,46,023,9262,20,NA,1,04,174984
South Dakota,County,Charles Mix,Financial Administration,18,R,70045,R,0,R,0,R,42101201100000,Midwest,Charles Mix,46,023,9262,20,NA,1,04,174984
South Dakota,County,Charles Mix,Police Protection - Persons with Power of Arrest,9,R,37515,R,0,R,0,R,42101201100000,Midwest,Charles Mix,46,023,9262,20,NA,1,04,174984
South Dakota,County,Charles Mix,Corrections,11,R,36442,R,0,R,0,R,42101201100000,Midwest,Charles Mix,46,023,9262,20,NA,1,04,174984
South Dakota,County,Charles Mix,Highways,11,R,51315,R,0,R,0,R,42101201100000,Midwest,Charles Mix,46,023,9262,20,NA,1,04,174984
South Dakota,County,Charles Mix,Public Welfare,0,C,0,C,1,C,2434,C,42101201100000,Midwest,Charles Mix,46,023,9262,20,NA,1,04,174984
South Dakota,County,Charles Mix,Health,0,C,0,C,2,C,6611,C,42101201100000,Midwest,Charles Mix,46,023,9262,20,NA,1,04,174984
South Dakota,County,Charles Mix,Solid Waste Management,1,R,3933,R,1,C,544,C,42101201100000,Midwest,Charles Mix,46,023,9262,20,NA,1,04,174984
South Dakota,County,Clark,Total - All Government Employment Functions,32,R,110761,R,19,R,11390,R,42101301200000,Midwest,Clark,46,025,3802,20,NA,1,04,174985
South Dakota,County,Clark,Financial Administration,7,R,25222,R,3,C,866,C,42101301200000,Midwest,Clark,46,025,3802,20,NA,1,04,174985
South Dakota,County,Clark,Other Government Administration,0,C,0,C,5,C,597,C,42101301200000,Midwest,Clark,46,025,3802,20,NA,1,04,174985
South Dakota,County,Clark,Judicial and Legal,0,R,0,R,2,R,5255,R,42101301200000,Midwest,Clark,46,025,3802,20,NA,1,04,174985
South Dakota,County,Clark,Police Protection - Persons with Power of Arrest,3,R,12264,R,0,R,0,R,42101301200000,Midwest,Clark,46,025,3802,20,NA,1,04,174985
South Dakota,County,Clark,Highways,16,R,51817,R,0,R,0,R,42101301200000,Midwest,Clark,46,025,3802,20,NA,1,04,174985
South Dakota,County,Clark,Public Welfare,0,C,0,C,1,C,1603,C,42101301200000,Midwest,Clark,46,025,3802,20,NA,1,04,174985
South Dakota,County,Clark,Health,5,R,18024,R,6,R,1704,R,42101301200000,Midwest,Clark,46,025,3802,20,NA,1,04,174985
South Dakota,County,Clark,Natural Resources,0,C,0,C,1,C,490,C,42101301200000,Midwest,Clark,46,025,3802,20,NA,1,04,174985
South Dakota,County,Clark,All other and unallocable,1,C,3434,C,1,C,875,C,42101301200000,Midwest,Clark,46,025,3802,20,NA,1,04,174985
South Dakota,County,Clay,Total - All Government Employment Functions,45,G,179452,G,13,G,22715,G,42101401300000,Midwest,Clay,46,027,14246,20,NA,1,04,134541
South Dakota,County,Clay,Financial Administration,8,G,35316,G,2,G,6086,G,42101401300000,Midwest,Clay,46,027,14246,20,NA,1,04,134541
South Dakota,County,Clay,Other Government Administration,8,G,18804,G,0,G,0,G,42101401300000,Midwest,Clay,46,027,14246,20,NA,1,04,134541
South Dakota,County,Clay,Judicial and Legal,3,G,17489,G,0,G,0,G,42101401300000,Midwest,Clay,46,027,14246,20,NA,1,04,134541
South Dakota,County,Clay,Police Protection - Persons with Power of Arrest,7,G,33068,G,0,G,0,G,42101401300000,Midwest,Clay,46,027,14246,20,NA,1,04,134541
South Dakota,County,Clay,Corrections,3,G,12315,G,5,G,8511,G,42101401300000,Midwest,Clay,46,027,14246,20,NA,1,04,134541
South Dakota,County,Clay,Highways,10,G,41014,G,0,G,0,G,42101401300000,Midwest,Clay,46,027,14246,20,NA,1,04,134541
South Dakota,County,Clay,Public Welfare,1,G,2149,G,0,G,0,G,42101401300000,Midwest,Clay,46,027,14246,20,NA,1,04,134541
South Dakota,County,Clay,Health,0,G,0,G,3,G,1805,G,42101401300000,Midwest,Clay,46,027,14246,20,NA,1,04,134541
South Dakota,County,Clay,All other and unallocable,5,G,19297,G,3,G,6313,G,42101401300000,Midwest,Clay,46,027,14246,20,NA,1,04,134541
South Dakota,County,Codington,Total - All Government Employment Functions,97,G,451242,G,17,G,30399,G,42101501400000,Midwest,Codington,46,029,28186,20,NA,1,04,209456
South Dakota,County,Codington,Financial Administration,24,G,104406,G,0,G,0,G,42101501400000,Midwest,Codington,46,029,28186,20,NA,1,04,209456
South Dakota,County,Codington,Other Government Administration,5,G,20672,G,0,G,0,G,42101501400000,Midwest,Codington,46,029,28186,20,NA,1,04,209456
South Dakota,County,Codington,Judicial and Legal,10,G,52412,G,3,G,6193,G,42101501400000,Midwest,Codington,46,029,28186,20,NA,1,04,209456
South Dakota,County,Codington,Police Protection - Persons with Power of Arrest,10,G,57368,G,3,G,5185,G,42101501400000,Midwest,Codington,46,029,28186,20,NA,1,04,209456
South Dakota,County,Codington,Police Protection - Other,1,G,1707,G,0,G,0,G,42101501400000,Midwest,Codington,46,029,28186,20,NA,1,04,209456
South Dakota,County,Codington,Corrections,16,G,75348,G,7,G,14325,G,42101501400000,Midwest,Codington,46,029,28186,20,NA,1,04,209456
South Dakota,County,Codington,Highways,17,G,78257,G,0,G,0,G,42101501400000,Midwest,Codington,46,029,28186,20,NA,1,04,209456
South Dakota,County,Codington,Public Welfare,3,G,12933,G,1,G,810,G,42101501400000,Midwest,Codington,46,029,28186,20,NA,1,04,209456
South Dakota,County,Codington,Health,2,G,7554,G,0,G,0,G,42101501400000,Midwest,Codington,46,029,28186,20,NA,1,04,209456
South Dakota,County,Codington,Parks and Recreation,7,G,31334,G,3,G,3886,G,42101501400000,Midwest,Codington,46,029,28186,20,NA,1,04,209456
South Dakota,County,Codington,Natural Resources,2,G,9251,G,0,G,0,G,42101501400000,Midwest,Codington,46,029,28186,20,NA,1,04,209456
South Dakota,County,Corson,Total - All Government Employment Functions,22,G,89452,G,13,G,16158,G,42101601500000,Midwest,Corson,46,031,4031,20,NA,1,04,174986
South Dakota,County,Corson,Financial Administration,5,G,18536,G,1,G,1411,G,42101601500000,Midwest,Corson,46,031,4031,20,NA,1,04,174986
South Dakota,County,Corson,Other Government Administration,1,G,4405,G,7,G,5539,G,42101601500000,Midwest,Corson,46,031,4031,20,NA,1,04,174986
South Dakota,County,Corson,Judicial and Legal,0,G,0,G,1,G,6633,G,42101601500000,Midwest,Corson,46,031,4031,20,NA,1,04,174986
South Dakota,County,Corson,Police Protection - Persons with Power of Arrest,4,G,19119,G,0,G,0,G,42101601500000,Midwest,Corson,46,031,4031,20,NA,1,04,174986
South Dakota,County,Corson,Police Protection - Other,1,G,3261,G,0,G,0,G,42101601500000,Midwest,Corson,46,031,4031,20,NA,1,04,174986
South Dakota,County,Corson,Highways,9,G,37713,G,0,G,0,G,42101601500000,Midwest,Corson,46,031,4031,20,NA,1,04,174986
South Dakota,County,Corson,Public Welfare,0,G,0,G,1,G,210,G,42101601500000,Midwest,Corson,46,031,4031,20,NA,1,04,174986
South Dakota,County,Corson,Natural Resources,0,G,0,G,2,G,1223,G,42101601500000,Midwest,Corson,46,031,4031,20,NA,1,04,174986
South Dakota,County,Corson,All other and unallocable,2,G,6418,G,1,G,1142,G,42101601500000,Midwest,Corson,46,031,4031,20,NA,1,04,174986
South Dakota,County,Custer,Total - All Government Employment Functions,76,G,304528,G,18,G,34105,G,42101701600000,Midwest,Custer,46,033,9017,20,NA,1,04,112961
South Dakota,County,Custer,Financial Administration,9,G,29598,G,0,G,0,G,42101701600000,Midwest,Custer,46,033,9017,20,NA,1,04,112961
South Dakota,County,Custer,Other Government Administration,10,G,33097,G,2,G,6710,G,42101701600000,Midwest,Custer,46,033,9017,20,NA,1,04,112961
South Dakota,County,Custer,Judicial and Legal,3,G,17522,G,1,G,3814,G,42101701600000,Midwest,Custer,46,033,9017,20,NA,1,04,112961
South Dakota,County,Custer,Police Protection - Persons with Power of Arrest,12,G,55683,G,1,G,1856,G,42101701600000,Midwest,Custer,46,033,9017,20,NA,1,04,112961
South Dakota,County,Custer,Police Protection - Other,1,G,3645,G,1,G,636,G,42101701600000,Midwest,Custer,46,033,9017,20,NA,1,04,112961
South Dakota,County,Custer,Highways,12,G,49085,G,1,G,1865,G,42101701600000,Midwest,Custer,46,033,9017,20,NA,1,04,112961
South Dakota,County,Custer,Public Welfare,6,G,25109,G,1,G,867,G,42101701600000,Midwest,Custer,46,033,9017,20,NA,1,04,112961
South Dakota,County,Custer,Natural Resources,1,G,3920,G,0,G,0,G,42101701600000,Midwest,Custer,46,033,9017,20,NA,1,04,112961
South Dakota,County,Custer,Water Supply,3,G,17918,G,0,G,0,G,42101701600000,Midwest,Custer,46,033,9017,20,NA,1,04,112961
South Dakota,County,Custer,Libraries,4,G,12469,G,1,G,1524,G,42101701600000,Midwest,Custer,46,033,9017,20,NA,1,04,112961
South Dakota,County,Custer,All other and unallocable,15,G,56483,G,10,G,16834,G,42101701600000,Midwest,Custer,46,033,9017,20,NA,1,04,112961
South Dakota,County,Davison,Total - All Government Employment Functions,77,R,360326,R,23,R,38307,R,42101801700000,Midwest,Davison,46,035,19812,20,NA,1,04,134542
South Dakota,County,Davison,Financial Administration,13,R,52129,R,1,C,215,C,42101801700000,Midwest,Davison,46,035,19812,20,NA,1,04,134542
South Dakota,County,Davison,Other Government Administration,4,R,19306,R,6,R,9546,R,42101801700000,Midwest,Davison,46,035,19812,20,NA,1,04,134542
South Dakota,County,Davison,Judicial and Legal,6,R,33434,R,0,R,0,R,42101801700000,Midwest,Davison,46,035,19812,20,NA,1,04,134542
